country,date,leverage,lev_growth
NO,2011 Q3,1.9221248874735017,-0.016686416121944436
NZ,2011 Q3,1.5291070658446708,0.008775052800182204
PL,2011 Q3,1.0864005412719893,0.02039047480123446
PT,2011 Q3,1.8232283817151338,-0.00986063152913963
RO,2011 Q3,1.2466766791103767,-0.0015660010912090794
RU,2011 Q3,1.1687713903080204,0.04544346746756389
SE,2011 Q3,2.137493322384766,-0.08308589273436118
SG,2011 Q3,0.8658078041851913,0.01446141449772953
SI,2011 Q3,1.6007586141277095,-0.03363735789199751
SK,2011 Q3,1.026802952239515,0.018477786091455783
TH,2011 Q3,1.0454410866077413,0.019895296721180733
TR,2011 Q3,0.9843504347324012,0.03910425373873139
US,2011 Q3,0.937869506671213,-0.009434882556415114
ZA,2011 Q3,1.1310774167230293,-0.02637601829185754
AR,2011 Q4,0.793355003339994,0.03995164450003974
AT,2011 Q4,1.30301271669954,-0.014021814526264942
AU,2011 Q4,1.4597097425588665,-0.010611785715200606
BE,2011 Q4,0.59089907335274094,-0.02293590185182781
BG,2011 Q4,1.0988645722781774,-0.008240489591576194
BO,2011 Q4,0.8232553723847281,-0.03715726274903819
BR,2011 Q4,1.1574279441246138,0.02569245902218764
BY,2011 Q4,1.1615807775399027,-0.3411990160141223
CA,2011 Q4,1.1736334027568442,0.1878326090252881
CH,2011 Q4,1.110507159324443,-0.008541705739175232
CL,2011 Q4,1.6224099945285042,0.017192848495723112
CN,2011 Q4,2.511967835944244,-0.12082604113142725
CO,2011 Q4,1.6798660831750565,-0.09845189004691735
CR,2011 Q4,1.8662264779889717,-0.020346375690997842
CY,2011 Q4,1.0889206204971766,0.015113787497089692
CZ,2011 Q4,0.8006025017897608,-0.005929488328337729
DE,2011 Q4,1.1666180741860197,-0.020687692261780244
DK,2011 Q4,3.7089972059698932,0.06439218518151346
EE,2011 Q4,1.4475254087494476,-0.07324831220740258
ES,2011 Q4,1.7902044428152348,0.009743704315963164
FI,2011 Q4,1.39819135609145,0.003750238956158114
FR,2011 Q4,1.2722834717118099,0.011163648928295133
GB,2011 Q4,1.3573753253084369,-0.015712723420527874
GR,2011 Q4,1.3770436446520529,0.04267399567945018
HR,2011 Q4,1.2414762791052119,0.015355149249946631
HU,2011 Q4,1.176134297059236,-0.03391461044496458
ID,2011 Q4,0.8239100059070434,-0.016816785242828036
IE,2011 Q4,1.0057618914642092,0.01482222475956263
IL,2011 Q4,1.0525153011286936,-0.040902681522715145
IS,2011 Q4,1.6142401317059507,0.06528234085190099
IT,2011 Q4,1.3460132072091935,-0.022730524136943986
JP,2011 Q4,0.47597636412215727,-0.0021147778178013943
KR,2011 Q4,1.1394472723626612,-0.012888034782770452
LT,2011 Q4,1.3281383069323796,-0.07034908802560369
LU,2011 Q4,0.31286502843295017,-0.0017233782430738365
LV,2011 Q4,1.9687838977943835,-0.05093878927231499
MT,2011 Q4,1.0935520115376232,0.024443511963433417
MX,2011 Q4,0.7442083833455085,0.016941111811798693
MY,2011 Q4,0.8696881453222839,-0.01557099152014163
NL,2011 Q4,1.144289181878789,-0.043253723004553546
NO,2011 Q4,1.9447933939776136,0.022668506504111896
NZ,2011 Q4,1.5378821186448528,0.008775052800181982
PL,2011 Q4,1.0443503041041413,-0.04205023716784795
PT,2011 Q4,1.8019737604449653,-0.021254621270168528
